text,href,tag_type
ChatSpot,https://go.coldiq.com/chatspot,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/646a774ac550b934451a2b4a_ChatSpot.avif
WINN,https://go.coldiq.com/winn,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64b52985e72d81d587833d00_Winn.jpeg
Magical,https://go.coldiq.com/magical,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64d2a1f699c7883ee011912f_Magical.jpeg
Oliv AI,https://go.coldiq.com/oliv,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64d2a8970af11e8e2c3253ff_Oliv-ai-icon.jpeg
Exceed.ai,https://go.coldiq.com/exceed,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64f74c06248e0832bb64b395_exceed-ai.avif
Conversica,https://go.coldiq.com/conversica,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64f74c6f93e28478fdb69e70_conversica.jpg
Workbounce,https://go.coldiq.com/workbounce,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64fa8ae378a92d721c47d0b5_Workbounce.avif
Drafter,https://go.coldiq.com/drafter,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64fa8b4fdeed167ebaf9f834_Drafter-ai.jpeg
Spell,https://go.coldiq.com/spell,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/64fa952e3dc59b592a44d776_Spell-so.jpeg
Lindy.ai,https://go.coldiq.com/lindy,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/65531c5c8b8f5caf6726224a_Lindy.jpeg
Glean,https://go.coldiq.com/glean,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/652bdbaaf9121f403b191f98_Glean.webp
Highspot,https://go.coldiq.com/highspot,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f8fd78f5105f8005a2a6b_Highspot.avif
Salesken,https://go.coldiq.com/salesken,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f82d6d7ee446116b4fe1d_Salesken.jpg
Data Parrot,https://go.coldiq.com/dataparrot,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f90c69f21969d91b3a2d2_Data-Parrot.jpeg
Edward.ai,https://go.coldiq.com/edward,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f93aad67644761230e819_Edward.jpeg
Zenfetch,https://go.coldiq.com/zenfetch,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f94e2bfc3badaf5148433_Zenfetch.jpeg
Mem.ai,https://go.coldiq.com/mem,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f97dbcf4ae8c253a350cc_Mem-ai.jpg
Motion,https://go.coldiq.com/motion,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f990ff47ead0cbc77ffbd_Motion.jpg
Verse.ai,https://go.coldiq.com/verse,https://cdn.prod.website-files.com/5ff75c18fc5ef3eb28dd5ad6/655f99732dbab744e92915ba_Verse.jpeg
